regulon	threshold	nCellsAssigned	AUCellComment	nGenes	clusteringOrder	clusterGroup	onlyNonDuplicatedExtended	personalNotes
JUN (353g)	0.145	906	 The global distribution overlaps the partial distributions. 	353	28	3	TRUE	
FOS_extended (458g)	0.142	2717		458	29	3	FALSE	
FOS (141g)	0.154	1537		141	30	3	TRUE	
ZNF250 (11g)	0.0385	10723		11	31	3	TRUE	
KLF8_extended (34g)	0.191	449	 The global distribution overlaps the partial distributions. 	34	32	3	TRUE	
EP300_extended (532g)	0.243	0	The AUC might follow a normal distribution (random gene-set?). 	532	33	3	FALSE	
EP300 (313g)	0.221	0	The AUC might follow a normal distribution (random gene-set?). 	313	34	3	TRUE	
NFKB1_extended (158g)	0.12	14400	 The right distribution is taller. 	158	35	3	FALSE	
NFKB1 (32g)	0.346	1	The AUC might follow a normal distribution (random gene-set?).  The right distribution is taller. 	32	36	3	TRUE	
RREB1_extended (14g)	0.307	2800	 The right distribution is taller. 	14	37	3	TRUE	
MYC_extended (213g)	0.279	13181	 The right distribution is taller. 	213	38	3	TRUE	
FOXK1_extended (77g)	0.0863	13668	 The right distribution is taller. 	77	39	3	TRUE	
CREB1_extended (1054g)	0.182	13793	 The right distribution is taller. 	1054	40	3	TRUE	
MYB_extended (58g)	0.293	1209	 The global distribution overlaps the partial distributions. 	58	41	3	TRUE	
ATF1_extended (117g)	0.14	1	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	117	42	3	TRUE	
CLOCK_extended (26g)	0.205	108	 The global distribution overlaps the partial distributions. 	26	43	3	TRUE	
ATF6_extended (79g)	0.157	31	 The global distribution overlaps the partial distributions. 	79	44	3	FALSE	
ATF6 (27g)	0.143	327	 The global distribution overlaps the partial distributions. 	27	45	3	TRUE	
NRF1_extended (304g)	0.037	19933		304	46	3	TRUE	
TAF1_extended (385g)	0.168	3	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	385	47	3	FALSE	
TAF1 (318g)	0.173	3	The AUC might follow a normal distribution (random gene-set?). 	318	48	3	TRUE	
BDP1_extended (251g)	0.16	2	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	251	49	3	TRUE	
AHCTF1 (60g)	0.221	1	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	60	50	3	TRUE	
MTA3_extended (15g)	0.225	736	 The global distribution overlaps the partial distributions. 	15	51	3	TRUE	
SOX4_extended (32g)	0.116	11922		32	52	3	TRUE	
JUNB_extended (479g)	0.214	3074		479	53	3	FALSE	
JUNB (186g)	0.267	2		186	54	3	TRUE	
MXI1_extended (165g)	0.102	13620	 The right distribution is taller. 	165	55	3	FALSE	
MXI1 (80g)	0.0512	13923	 The right distribution is taller. 	80	56	3	TRUE	
TCF12_extended (228g)	0.241	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	228	57	3	TRUE	
ZEB1_extended (161g)	0.147	1645	 The right distribution is taller. 	161	58	3	TRUE	
CHD2_extended (2084g)	0.344	13868	 The right distribution is taller. 	2084	59	3	FALSE	
CHD2 (1291g)	0.228	13996	 The right distribution is taller. 	1291	60	3	TRUE	
BRF1_extended (22g)	0.158	245	 The global distribution overlaps the partial distributions. 	22	61	3	TRUE	
TCF3_extended (10g)	0.241	10	 The global distribution overlaps the partial distributions. 	10	62	3	TRUE	
STAT3_extended (18g)	0.337	88	 The global distribution overlaps the partial distributions. 	18	63	3	TRUE	
CEBPZ_extended (15g)	0.397	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	15	64	3	TRUE	
ELF1_extended (2092g)	0.186	19925	 The global distribution overlaps the partial distributions. 	2092	65	2	FALSE	
ELF1 (1743g)	0.156	19925	 The global distribution overlaps the partial distributions. 	1743	66	2	TRUE	
ETS1_extended (4959g)	0.527	19909	 The right distribution is taller. 	4959	67	2	FALSE	
ETS1 (3214g)	0.362	19904	 The right distribution is taller. 	3214	68	2	TRUE	
FLI1_extended (1453g)	0.0974	19933	 The global distribution overlaps the partial distributions. 	1453	69	2	FALSE	
FLI1 (1060g)	0.0789	19933	 The global distribution overlaps the partial distributions. 	1060	70	2	TRUE	
CTCF_extended (1303g)	0.113	19929		1303	71	2	TRUE	
NR3C1_extended (2242g)	0.276	6795		2242	72	2	FALSE	
NR3C1 (1112g)	0.162	6126		1112	73	2	TRUE	
RB1_extended (805g)	0.148	1203	 The global distribution overlaps the partial distributions. 	805	74	2	FALSE	
RB1 (339g)	0.158	392		339	75	2	TRUE	
TFDP2_extended (647g)	0.13	1062	 The global distribution overlaps the partial distributions. 	647	76	2	FALSE	
TFDP2 (293g)	0.147	135		293	77	2	TRUE	
IRF4_extended (43g)	0.224	218		43	78	2	FALSE	
IRF4 (33g)	0.225	241		33	79	2	TRUE	
WRNIP1 (42g)	0.166	244	 The global distribution overlaps the partial distributions. 	42	80	2	TRUE	
ETV7_extended (37g)	0.133	2743		37	81	2	FALSE	
ETV7 (20g)	0.201	2117		20	82	2	TRUE	
RAD21_extended (1304g)	0.0913	19932		1304	83	2	TRUE	
E2F3_extended (768g)	0.103	5705		768	84	2	FALSE	
E2F3 (676g)	0.0997	5596		676	85	2	TRUE	
EZH2_extended (3090g)	0.318	6337		3090	86	2	TRUE	
CEBPB_extended (668g)	0.128	5893		668	87	2	TRUE	
RFX5 (12g)	0.0932	11794		12	88	2	TRUE	
IRF1_extended (305g)	0.0915	1043	 The global distribution overlaps the partial distributions. 	305	89	2	FALSE	
FOXD1_extended (21g)	0.136	5803		21	90	2	TRUE	
EOMES (144g)	0.126	1133		144	91	2	TRUE	
MXD4_extended (342g)	0.114	6841		342	92	2	TRUE	
PRDM1_extended (442g)	0.134	6873		442	93	2	TRUE	
BHLHE40_extended (1294g)	0.163	6812		1294	94	2	TRUE	
TBX21 (623g)	0.132	6858		623	95	2	TRUE	
FOSL2_extended (151g)	0.09	6680		151	96	2	TRUE	
NFIL3_extended (119g)	0.123	6705		119	97	2	TRUE	
DDIT3 (12g)	0.0606	3708		12	98	2	TRUE	
REL_extended (67g)	0.163	960	 The global distribution overlaps the partial distributions. 	67	99	2	FALSE	
REL (45g)	0.201	831	 The global distribution overlaps the partial distributions. 	45	100	2	TRUE	
JUND_extended (1517g)	0.121	19932		1517	101	2	FALSE	
JUND (638g)	0.156	1400		638	102	2	TRUE	
CREM_extended (470g)	0.144	1151	 The global distribution overlaps the partial distributions. 	470	103	2	FALSE	
CREM (332g)	0.151	883	 The global distribution overlaps the partial distributions. 	332	104	2	TRUE	
FOSB_extended (263g)	0.104	4032		263	105	2	FALSE	
FOSB (91g)	0.126	2258		91	106	2	TRUE	
ATF3_extended (49g)	0.0876	928	 The global distribution overlaps the partial distributions. 	49	107	2	FALSE	
ATF3 (13g)	0.0449	3911		13	108	2	TRUE	
NR2C2_extended (220g)	0.143	3	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	220	109	1	FALSE	
NR2C2 (120g)	0.158	1	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	120	110	1	TRUE	
SIN3A_extended (309g)	0.0989	43		309	111	1	FALSE	
SIN3A (236g)	0.109	40		236	112	1	TRUE	
ELF2_extended (549g)	0.0361	19933		549	113	1	FALSE	
ELF2 (194g)	0.149	1	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	194	114	1	TRUE	
HDAC2_extended (26g)	0.132	259	 The global distribution overlaps the partial distributions. 	26	115	1	TRUE	
RBBP5_extended (22g)	0.221	42	 The global distribution overlaps the partial distributions. 	22	116	1	TRUE	
MLXIP_extended (19g)	0.126	735	 The global distribution overlaps the partial distributions. 	19	117	1	FALSE	
MLXIP (14g)	0.0208	14215		14	118	1	TRUE	
GABPA_extended (50g)	0.142	72	 The global distribution overlaps the partial distributions. 	50	119	1	FALSE	
GABPA (36g)	0.15	80	 The global distribution overlaps the partial distributions. 	36	120	1	TRUE	
ATF2_extended (134g)	0.147	4	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	134	121	1	FALSE	
ATF2 (29g)	0.13	135	 The global distribution overlaps the partial distributions. 	29	122	1	TRUE	
ELK4_extended (25g)	0.147	407	 The global distribution overlaps the partial distributions. 	25	123	1	TRUE	
GMEB2_extended (11g)	0.0146	19915		11	124	1	TRUE	
REST_extended (97g)	0.119	3	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	97	125	1	TRUE	
STAT5A_extended (10g)	0.0336	10648	 The global distribution overlaps the partial distributions. 	10	126	1	TRUE	
GTF3C2_extended (12g)	0.0274	11081	 The global distribution overlaps the partial distributions. 	12	127	1	TRUE	
SMARCC2_extended (26g)	0.13	354	 The global distribution overlaps the partial distributions. 	26	128	1	TRUE	
NR2C1_extended (22g)	0.134	473	 The global distribution overlaps the partial distributions. 	22	129	1	TRUE	
SP1_extended (37g)	0.14	89	 The global distribution overlaps the partial distributions. 	37	130	1	FALSE	
SP1 (24g)	0.139	248	 The global distribution overlaps the partial distributions. 	24	131	1	TRUE	
E2F4_extended (25g)	0.118	450	 The global distribution overlaps the partial distributions. 	25	132	1	FALSE	
E2F4 (19g)	0.0187	11872		19	133	1	TRUE	
PBX3_extended (609g)	0.114	519		609	134	1	FALSE	
PBX3 (269g)	0.11	487		269	135	1	TRUE	
ZBTB7A_extended (21g)	0.014	14692	 The global distribution overlaps the partial distributions. 	21	136	1	TRUE	
ZBTB7B_extended (16g)	0.0165	14977		16	137	1	TRUE	
KLF11_extended (10g)	0.0308	11622	 The global distribution overlaps the partial distributions. 	10	138	1	TRUE	
GTF2F1_extended (22g)	0.109	385	 The global distribution overlaps the partial distributions. 	22	139	1	TRUE	
SMAD5 (39g)	0.134	62	 The global distribution overlaps the partial distributions. 	39	140	1	TRUE	
ZNF143_extended (14g)	0.193	315	 The global distribution overlaps the partial distributions. 	14	141	1	TRUE	
RFX1_extended (16g)	0.0186	14970		16	142	1	FALSE	
RFX1 (14g)	0.0227	14385		14	143	1	TRUE	
RXRA_extended (12g)	0.0304	3881		12	144	1	FALSE	
RXRA (11g)	0.0296	3633		11	145	1	TRUE	
ELF4_extended (80g)	0.13	3	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	80	146	1	FALSE	
ELF4 (64g)	0.118	48	 The global distribution overlaps the partial distributions. 	64	147	1	TRUE	
ELK3_extended (100g)	0.135	104		100	148	1	FALSE	
ELK3 (77g)	0.153	78		77	149	1	TRUE	
IRF2_extended (216g)	0.15	53		216	150	1	FALSE	
IRF2 (103g)	0.168	147		103	151	1	TRUE	
KDM5A_extended (96g)	0.119	24	 The global distribution overlaps the partial distributions. 	96	152	1	TRUE	
MAX_extended (172g)	0.138	2	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	172	153	1	TRUE	
NFE2L1_extended (27g)	0.18	64	 The global distribution overlaps the partial distributions. 	27	154	1	TRUE	
IRF1 (27g)	0.124	437	 The global distribution overlaps the partial distributions. 	27	155	1	TRUE	
SP4_extended (88g)	0.138	86	 The global distribution overlaps the partial distributions. 	88	156	1	TRUE	
CREB3L2_extended (12g)	0.0956	11317	 The global distribution overlaps the partial distributions. 	12	157	1	TRUE	
STAT1_extended (366g)	0.143	17	The AUC might follow a normal distribution (random gene-set?). 	366	158	1	FALSE	
STAT1 (282g)	0.148	16	The AUC might follow a normal distribution (random gene-set?). 	282	159	1	TRUE	
IRF9_extended (64g)	0.211	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	64	160	1	FALSE	
IRF9 (42g)	0.185	35	 The global distribution overlaps the partial distributions. 	42	161	1	TRUE	
