regulon	threshold	nCellsAssigned	AUCellComment	nGenes	clusteringOrder	clusterGroup	onlyNonDuplicatedExtended	personalNotes
IRF2_extended (190g)	0.0968	33	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	190	125	1	FALSE	
IRF2 (108g)	0.12	65	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	108	126	1	TRUE	
SREBF2_extended (130g)	0.0718	265	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	130	127	1	FALSE	
SREBF2 (49g)	0.0874	526	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	49	128	1	TRUE	
BACH1_extended (23g)	0.102	918	Few cells have high AUC values (0.00018% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	23	129	1	TRUE	
RXRA_extended (12g)	0.0295	6304	Few cells have high AUC values (9.1e-05% cells with AUC> 0.20). 	12	130	1	TRUE	
KLF11_extended (13g)	0.0354	7170	Few cells have high AUC values (0.00024% cells with AUC> 0.20). 	13	131	1	TRUE	
GABPB1_extended (11g)	0.029	16407	Few cells have high AUC values (0.0048% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	11	132	1	TRUE	
SIN3A_extended (57g)	0.108	235	Few cells have high AUC values (3e-05% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	57	133	1	TRUE	
SP1_extended (13g)	0.0233	21970	Few cells have high AUC values (0.0031% cells with AUC> 0.20). 	13	134	1	TRUE	
POLR2A_extended (217g)	0.0811	179	Few cells have high AUC values (3e-05% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	217	135	1	FALSE	
POLR2A (197g)	0.0836	181	Few cells have high AUC values (3e-05% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	197	136	1	TRUE	
RCOR1_extended (101g)	0.0898	175	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	101	137	1	TRUE	
ELK3_extended (62g)	0.082	521	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	62	138	1	TRUE	
RELB_extended (88g)	0.145	448	Few cells have high AUC values (0.0029% cells with AUC> 0.20). 	88	139	1	FALSE	
RELB (83g)	0.15	455	Few cells have high AUC values (0.0035% cells with AUC> 0.20). 	83	140	1	TRUE	
STAT5A_extended (22g)	0.128	745	Few cells have high AUC values (0.00097% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	22	141	1	FALSE	
STAT5A (17g)	0.122	1551	Few cells have high AUC values (0.0022% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	17	142	1	TRUE	
IRF1_extended (63g)	0.112	183	Few cells have high AUC values (3e-05% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	63	143	1	FALSE	
IRF1 (19g)	0.171	352	Few cells have high AUC values (0.0028% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	19	144	1	TRUE	
IRF7_extended (22g)	0.156	253	Few cells have high AUC values (0.0025% cells with AUC> 0.20). 	22	145	1	FALSE	
IRF7 (21g)	0.159	273	Few cells have high AUC values (0.003% cells with AUC> 0.20). 	21	146	1	TRUE	
STAT1_extended (181g)	0.0945	85	Few cells have high AUC values (0.00018% cells with AUC> 0.20). 	181	147	1	FALSE	
STAT1 (153g)	0.0978	96	Few cells have high AUC values (0.00024% cells with AUC> 0.20). 	153	148	1	TRUE	
RELA_extended (21g)	0.127	636	Few cells have high AUC values (0.00042% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	21	149	1	FALSE	
RELA (10g)	0.0261	24031	Few cells have high AUC values (0.018% cells with AUC> 0.20). 	10	150	1	TRUE	
PBX3_extended (170g)	0.0991	124	Few cells have high AUC values (0% cells with AUC> 0.20). 	170	151	1	FALSE	
PBX3 (100g)	0.119	101	Few cells have high AUC values (0% cells with AUC> 0.20). 	100	152	1	TRUE	
POLE3_extended (37g)	0.0664	723	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	37	153	1	FALSE	
POLE3 (11g)	0.0454	7440	Few cells have high AUC values (0.00097% cells with AUC> 0.20). 	11	154	1	TRUE	
XRCC4_extended (25g)	0.123	474	Few cells have high AUC values (0.00021% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	25	155	1	TRUE	
RAD21_extended (374g)	0.107	293	Few cells have high AUC values (0% cells with AUC> 0.20). 	374	156	1	TRUE	
NFYB_extended (16g)	0.0106	29709	Few cells have high AUC values (0.0087% cells with AUC> 0.20). 	16	157	1	TRUE	
ELF2 (28g)	0.133	208	Few cells have high AUC values (0% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	28	158	1	TRUE	
HCFC1_extended (28g)	0.146	209	Few cells have high AUC values (6.1e-05% cells with AUC> 0.20). The global distribution overlaps the partial distributions. 	28	159	1	TRUE	
